id,矛盾・不備,採用ルール,補正理由,設定・実装箇所
C01,粗利最大化とポイント等を粗利から差し引く/差し引かないが混在,会計粗利と広告貢献粗利を分離し、最適化は広告貢献粗利,売上×粗利率-その他販促費-広告費,other_promo_cost_rate
C02,全商品を利益獲得商品とする一方、商品役割で目標を変える,MVPは全商品PROFIT固定。role列は将来用,最終目的と均一運用を優先,role
C03,目標ROASが共通・粗利から自動・手動設定の3回答,手動共通ROASをガード、商品粗利から別の採算ガードを算出,二重ガードで両立,target_roas_pct
C04,主判定は商品だがキーワードも変更する,商品を親、キーワードを子とする階層制約,商品優先回答を維持,hierarchy
C05,CVは注文数、まとめ買いは販売数量,CVRは注文数、数量は売上/AOV補助,指標を混在させない,label_definition
C06,商品別とキーワード別を同時集計,店舗KPIは商品別のみ、キーワードは内訳,二重計上防止,kpi_source
C07,データ不足が2クリックと10クリック,最終MVPの10クリック,末尾固定回答を優先,min_clicks_for_judgement
C08,注文0停止が100クリックと50クリック,最終MVPの50クリック,末尾固定回答を優先,no_order_stop_clicks
C09,探索しない一方で50クリック・予算5%探索,強制探索なし。14日/10クリックまでは観測,最終MVPを優先,new_product_observation_days
C10,制御基準を実績CPCにする,登録CPC/手動適用値を制御基準、実績CPCは評価値,媒体へ設定する値と結果値を分離,current_bid_precedence
C11,最大減額100%と最大増減50%,通常変更は±50%。停止は別状態,停止とCPC変更を分離,max_down_pct
C12,差50%未満据置と最大変更50%,デッドバンド10%または3円,元回答ではほぼ全提案が消える,deadband_pct
C13,再変更禁止なしと7日効果判定,通常は7日観測。ハード停止のみ上書き,因果評価を成立させる,change_observation_days
C14,クリック0を停止,NO_TRAFFIC_REVIEWへ補正,効果不良と露出不足を識別不能,zero_click_rule
C15,在庫制約なしと在庫0自動停止,正在庫は制約なし、0以下だけハード停止,両回答を最小限で両立,stock_rule
C16,自然売上を使わない一方、MER/純増/抑制に使う,MVPの入札判定には不使用、診断のみ任意,最終MVPを優先,organic_diagnostic_only
C17,イベント別モデルなしと事前増額,同一モデル。イベントカレンダーによる手動戦略のみ,別モデル化しない,event_calendar
C18,予算上限なしと上限内再配分,上限未設定時は配分最適化なし。順位だけ表示,制約のない最適化を避ける,budget_cap_optional
C19,負数/空欄広告費を0に置換,欠損・負数はエラー。1%超でRun BLOCK,誤った採算判断を防止,data_missing_block_rate
C20,完全重複を再処理しつつ重複入稿検知,再計算可、自動承認は解除,計算再現性と事故防止を両立,input_hash
C21,手動修正後を再検証しない,CPC上下限とハード制約だけ再検証,入力事故を防ぐ最低限の検証,operator_validation
C22,異常時自動ロールバックと今回の手動変更方針,自動ロールバックしない。候補とファイルのみ生成,最新指示を優先,auto_rollback=false
C23,楽天720時間ラベルを待たない,日次計算は暫定値、ML教師は成熟データのみ,未来情報・ラベル未確定を防ぐ,attribution_maturity
C24,ML学習期間7日,最低90日、推奨180日以上。再学習は週次,7日では季節性・反応推定が不可能,training_history_days
C25,CVRモデル評価をMAEのみ,Log Loss/Brier/Calibrationを主、MAEは補助,確率予測の評価として補正,model_metrics
C26,人判断のみをベースライン,人判断とM0ルールの双方,モデル改善を定量比較するため,baselines
C27,価格/ページ変更を分けるが因果では関知しない,計算は継続、効果評価は交絡フラグ,運用継続と学習品質を両立,regime_flags
C28,固定費を売上効果で商品配賦,入札の限界判断から除外、MER診断のみ,循環参照を防止,fixed_cost_diagnostic
C29,検索数ボリュームでキーワード関連性,関連性はCTR/CVR/ROAS、検索量は需要,概念誤りを補正,keyword_relevance
C30,粗利未登録でも対象と保留が混在,仮定値で試算表示、入稿は保留,計算機利用と安全性を両立,allow_assumed_margin_for_upload
C31,返品返金を差し引かない,現行は暫定粗利として明示し、将来列を予約,業務方針を維持し過大評価を明示,returns_adjustment
C32,楽天/Yahooの指標統一と属性期間差,共通論理名、媒体別属性期間、別モデル,無理な数値換算を避ける,platform_attribution
